department_name,year,total_pop,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,lon,lat
"Albuquerque, NM",1975,286238,832.523983538174,10.4807887142867,63.2340919095298,286.125531900027,472.683571014331,-106.650422,35.0843859
"Atlanta, GA",1975,490584,1637.43619848996,37.7101576896108,90.3005397648517,792.320988862254,717.104512173247,-84.3879824,33.7489954
"Austin, TX",1975,300400,404.460719041278,10.9853528628495,63.2490013315579,176.098535286285,154.127829560586,-97.7430608,30.267153
"Boston, MA",1975,616120,1848.01662013893,19.3144192689736,73.5246380575213,1262.4164123872,492.761150425242,-71.0588801,42.3600825
"Buffalo, NY",1975,422276,793.320008714679,14.919152402694,45.4678930367816,554.139946385776,178.793016889428,-78.8783689,42.88644679999999
"Charlotte, NC",1975,262103,739.022445374528,25.9439991148518,27.0885873110953,313.617165770708,372.372693177873,-80.8431267,35.2270869
"Chicago, IL",1975,3150000,1179.68253968254,25.968253968254,52.6031746031746,703.84126984127,397.269841269841,-87.6297982,41.8781136
"Columbus, OH",1975,572797,694.836041389882,10.8240790367268,72.6260786980379,419.34577171319,192.040111941927,-82.99879419999999,39.9611755
"Dallas, TX",1975,864665,885.31396552422,27.4094591547015,63.2614943359567,391.596745560419,403.046266473143,-96.79698789999999,32.7766642
"Denver, CO",1975,508140,976.108946353367,14.5629157318849,94.462156098713,505.372535128114,361.711339394655,-104.990251,39.7392358
"Detroit, MI",1975,1432444,2121.33947295671,44.1902091809523,99.4105179678926,1488.15590696739,489.582838840471,-83.0457538,42.331427
"El Paso, TX",1975,369000,438.482384823848,5.69105691056911,33.0623306233062,227.642276422764,172.086720867209,-106.4850217,31.7618778
"Fresno, CA",1975,176500,646.458923512748,14.1643059490085,47.5920679886686,321.246458923513,263.456090651558,-119.7871247,36.7377981
"Houston, TX",1975,1372342,650.275222940054,25.2852423084042,42.8464624707252,467.959153039111,114.184365121814,-95.3698028,29.7604267
"Indianapolis, IN",1975,503411,924.691752861976,18.8712602624893,69.7243405487762,614.20986033281,221.8862917179,-86.158068,39.768403
"Kansas City, MO",1975,489094,1241.47914306861,23.3084028836992,61.7468216743612,629.940256883135,526.483661627417,-94.5785667,39.0997265
"Las Vegas, NV",1975,249186,1040.98946168725,14.8483462152769,67.8208246049136,539.75745025804,418.562840609023,-115.1398296,36.1699412
"Los Angeles, CA",1975,2729878,1113.78603732474,20.2939472020361,64.7647990129962,534.456118551818,494.271172557895,-118.2436849,34.0522342
"Memphis, TN",1975,646483,839.774595774367,18.5619730139849,80.5898995023844,461.419712505975,279.203010752023,-90.0489801,35.1495343
"Miami, FL",1975,350742,1771.38751560976,27.9407655769768,50.7495538030803,757.536878959463,935.160317270244,-80.1917902,25.7616798
"Milwaukee, WI",1975,674369,475.110807287998,10.3800738171535,21.6498682472059,291.82836103083,151.252504192808,-87.9064736,43.0389025
"Minneapolis, MN",1975,405378,820.468797024012,11.594117095649,75.7317861354094,453.403983442614,279.73891035034,-93.2650108,44.977753
"Nashville, TN",1975,449600,702.402135231317,20.6850533807829,24.4661921708185,445.507117437722,211.743772241993,-86.7816016,36.1626638
"New Orleans, LA",1975,571934,1047.84817828631,27.6255651875916,41.4383477813874,628.743876041641,350.040389275686,-90.0715323,29.95106579999999
"New York, NY",1975,7422506,1780.82712226841,22.1623263086618,52.0848349600526,1120.78050189518,585.799459104513,-74.0059728,40.7127753
"Oklahoma City, OK",1975,384081,694.124416464235,15.8820665432552,64.8300749060745,258.278852637855,355.133422377051,-97.5164276,35.4675602
"Omaha, NE",1975,391389,648.970717112642,9.19801016380123,45.4790502543505,309.41084189898,284.88281479551,-95.9345034,41.2565369
"Orlando, FL",1975,118457,942.114016056459,17.7279519150409,72.6001840330246,256.633208674878,595.152671433516,-81.3792365,28.5383355
"Philadelphia, PA",1975,1883253,867.222831982745,23.09833038896,38.0193208241272,552.501442981904,253.603737787753,-75.1652215,39.9525839
"Phoenix, AZ",1975,668046,695.91016187508,11.2267718091269,46.5536804351796,290.099783547839,348.029926082934,-112.0740373,33.4483771
"Pittsburgh, PA",1975,479083,1036.77233381272,13.1501222126437,49.4695073713741,572.76087859515,401.391825633554,-79.9958864,40.44062479999999
"Raleigh, NC",1975,149940,480.859010270775,11.3378684807256,13.3386688008537,147.392290249433,308.790182739763,-78.6381787,35.7795897
"Sacramento, CA",1975,262994,917.131189304699,15.9699460824201,58.93670578036,428.907123356426,413.317414085492,-121.4943996,38.5815719
"Salt Lake City, UT",1975,180000,594.444444444444,6.11111111111111,55,323.333333333333,210,-111.8910474,40.7607793
"San Antonio, TX",1975,768814,549.157533551678,17.0392318558195,35.7693798500027,225.021916874563,271.327004971293,-98.49362819999999,29.4241219
"San Diego, CA",1975,768713,502.00790151851203,8.32560396402819,29.7900516837884,286.062548701531,177.829697169165,-117.1610838,32.715738
"San Francisco, CA",1975,669977,1363.77815954876,20.5977220113526,81.6445937696369,848.835109264945,412.700734502826,-122.4194155,37.7749295
"San Jose, CA",1975,549367,385.170569036728,7.28110716515553,42.5944769161599,161.458551387324,173.836433568088,-121.8863286,37.3382082
"Seattle, WA",1975,503500,788.679245283019,10.3277060575968,64.3495531281033,417.676266137041,296.325719960278,-122.3320708,47.6062095
"St. Louis, MO",1975,569000,1856.41476274165,42.1792618629174,81.195079086116,1105.09666080844,627.943760984183,-90.19940419999999,38.6270025
"Tucson, AZ",1975,340500,531.571218795888,6.75477239353891,40.2349486049927,207.635829662261,276.945668135095,-110.9747108,32.2226066
"Tulsa, OK",1975,347600,508.630609896433,11.2197928653625,39.1254315304948,167.146144994246,291.139240506329,-95.99277500000001,36.1539816
"Virginia Beach, VA",1975,217192,208.110795977752,10.1292865298906,17.496040369811,89.3218903090353,91.1635787690154,-75.97798499999999,36.8529263
"Washington, DC",1975,716000,1774.30167597765,32.8212290502793,72.6256983240224,1276.11731843575,392.737430167598,-77.0368707,38.9071923
"Wichita, KS",1975,259240,438.589723808054,13.8867458725505,20.4443758679216,246.875482178676,157.383119888906,-97.33005299999999,37.68717609999999
"Albuquerque, NM",1976,292265,828.015670709801,9.5803466032539,63.6408738644723,298.017210408362,456.777239833713,-106.650422,35.0843859
"Atlanta, GA",1976,457300,1646.40279903783,33.675923901159,104.307894161382,739.120927181281,769.298053794008,-84.3879824,33.7489954
"Austin, TX",1976,284908,421.890575203224,8.42377188425738,63.5292796271077,181.813076501888,168.12444718997,-97.7430608,30.267153
"Boston, MA",1976,619437,1596.28824238785,13.0763903350946,63.2832717451492,988.801121017957,531.127459289645,-71.0588801,42.3600825
"Buffalo, NY",1976,425101,727.121319404095,12.7028635547787,47.5181192234316,455.656420474193,211.243916151691,-78.8783689,42.88644679999999
"Charlotte, NC",1976,274020,691.55536092256,18.9767170279542,30.6546967374644,266.768848989125,375.155098168017,-80.8431267,35.2270869
"Chicago, IL",1976,3134499,977.508686396135,25.969062360524,37.6136664902429,560.759470652248,353.166486893121,-87.6297982,41.8781136
"Columbus, OH",1976,595500,551.973131821998,8.90008396305626,55.0797649034425,322.586062132662,165.407220822838,-82.99879419999999,39.9611755
"Dallas, TX",1976,888450,815.352580336541,25.8877820924081,66.5203444200574,350.385502842028,372.558950982047,-96.79698789999999,32.7766642
"Denver, CO",1976,523676,784.263552272779,16.4223680290867,73.1368250597698,389.935761806919,304.768597377004,-104.990251,39.7392358
"Detroit, MI",1976,1334100,2226.14496664418,49.6964245558804,92.1969867326287,1590.06071508882,494.190840266847,-83.0457538,42.331427
"El Paso, TX",1976,361413,435.236142584799,6.91729406523838,32.6496279879252,219.139875986752,176.529344544884,-106.4850217,31.7618778
"Fresno, CA",1976,177900,712.197863968522,15.7391793142215,30.9162450815065,406.408094435076,259.134345137718,-119.7871247,36.7377981
"Houston, TX",1976,1477000,544.685172647258,21.7332430602573,46.716316858497,374.47528774543,101.760324983074,-95.3698028,29.7604267
"Indianapolis, IN",1976,494730,837.628605501991,13.7448709397045,70.139267883492,478.240656519718,275.503810159077,-86.158068,39.768403
"Kansas City, MO",1976,488012,1143.00468021278,19.4667344245633,71.7195478799702,493.84031540208,557.978082506168,-94.5785667,39.0997265
"Las Vegas, NV",1976,265347,931.987171515035,13.1902753752633,56.9066166189932,480.879753681029,381.010525839749,-115.1398296,36.1699412
"Los Angeles, CA",1976,2739100,1166.8066153116,18.2906794202475,74.732576393706,519.331167171699,554.452192325946,-118.2436849,34.0522342
"Memphis, TN",1976,649819,735.589448754192,17.3894576797539,72.635610839326,373.796395611701,271.76798462341,-90.0489801,35.1495343
"Miami, FL",1976,338721,1526.92038580425,24.7991709991409,42.8080927961361,682.862887154915,776.450234854054,-80.1917902,25.7616798
"Milwaukee, WI",1976,652517,412.556301215141,8.73540459482282,25.7464556478988,248.422646459786,129.651794512633,-87.9064736,43.0389025
"Minneapolis, MN",1976,397421,743.292377604606,6.7938030451335,75.4867005014833,354.032625351957,306.979248706032,-93.2650108,44.977753
"Nashville, TN",1976,445979,634.783252126221,16.5927095221972,28.9251287616682,386.116835097617,203.148578744739,-86.7816016,36.1626638
"New Orleans, LA",1976,557327,863.048084876563,30.5027389665313,47.3689593362604,466.512478311655,318.663908262115,-90.0715323,29.95106579999999
"New York, NY",1976,7530493,1781.46371027767,21.5390944523818,45.1497664229951,1144.45362342147,570.321225980822,-74.0059728,40.7127753
"Oklahoma City, OK",1976,376522,626.789404072006,9.56119429940349,60.5542305628888,204.503322515019,352.170656694695,-97.5164276,35.4675602
"Omaha, NE",1976,388592,516.73734919916,4.88944702927492,49.66648824474,202.783382056244,259.398031868901,-95.9345034,41.2565369
"Orlando, FL",1976,116848,956.798575927701,14.5488155552513,83.869642612625,279.850746268657,578.529371491168,-81.3792365,28.5383355
"Philadelphia, PA",1976,1916665,684.157116658362,17.6347979433026,39.8609042268732,406.226440196904,220.434974291282,-75.1652215,39.9525839
"Phoenix, AZ",1976,669005,576.378352927108,7.92221283846907,35.8741713440109,221.971435191067,310.610533553561,-112.0740373,33.4483771
"Pittsburgh, PA",1976,487106,948.664151129323,12.7282357433495,58.9194138442146,496.606488115523,380.410013426236,-79.9958864,40.44062479999999
"Raleigh, NC",1976,148093,358.55847339172,7.42776498551586,19.5822895072691,93.184688000108,238.363730898827,-78.6381787,35.7795897
"Sacramento, CA",1976,260700,1073.64787111623,19.9462984273111,73.6478711162255,455.312619869582,524.741081703107,-121.4943996,38.5815719
"Salt Lake City, UT",1976,175400,546.750285062714,6.27137970353478,58.1527936145952,274.800456100342,207.525655644242,-111.8910474,40.7607793
"San Antonio, TX",1976,753069,436.215008186501,15.8020048627682,34.9237586462861,167.580925519441,217.908319158005,-98.49362819999999,29.4241219
"San Diego, CA",1976,773400,532.454098784588,7.62865270235324,30.1267132143781,293.638479441427,201.060253426429,-117.1610838,32.715738
"San Francisco, CA",1976,665000,1617.44360902256,19.5488721804511,93.0827067669173,996.691729323308,508.12030075188,-122.4194155,37.7749295
"San Jose, CA",1976,557700,452.393760086068,6.63439124977587,53.0751299982069,173.39071185225,219.293526985835,-121.8863286,37.3382082
"Seattle, WA",1976,503500,819.860973187686,8.3416087388282,63.9523336643496,429.592850049652,317.974180734856,-122.3320708,47.6062095
"St. Louis, MO",1976,534206,1792.192524981,34.0692541828433,91.5377214033538,992.68821390999,673.897335484813,-90.19940419999999,38.6270025
"Tucson, AZ",1976,340927,429.417441270419,7.03963018476096,39.8912377136454,162.498130098232,219.98844327378,-110.9747108,32.2226066
"Tulsa, OK",1976,349516,499.834056237769,7.72496824179723,37.4804014694606,112.1550944735,342.47359205301,-95.99277500000001,36.1539816
"Virginia Beach, VA",1976,216176,222.503885722744,5.55103249204352,27.292576419214,72.6260084375694,117.034268373918,-75.97798499999999,36.8529263
"Washington, DC",1976,702000,1481.33903133903,26.7806267806268,72.3646723646724,1003.4188034188,378.774928774929,-77.0368707,38.9071923
"Wichita, KS",1976,256455,434.384199957107,7.40870718059699,43.2824472129613,200.425025832992,183.268019730557,-97.33005299999999,37.68717609999999
"Albuquerque, NM",1977,292341,817.538422595531,10.6040548537496,70.8077211201987,257.917979346038,478.208667275545,-106.650422,35.0843859
"Atlanta, GA",1977,440300,1724.96025437202,31.3422666363843,115.830115830116,761.753349988644,816.034521916875,-84.3879824,33.7489954
"Austin, TX",1977,321900,391.425908667288,10.2516309412861,58.0925753339546,159.055607331469,164.026095060578,-97.7430608,30.267153
"Boston, MA",1977,619321,1521.34353590464,12.1100366368975,65.8785993047224,913.096762422072,530.258137540952,-71.0588801,42.3600825
"Buffalo, NY",1977,415352,949.796798859762,10.8341840174117,56.8192761802038,438.66407288276,443.479265779387,-78.8783689,42.88644679999999
"Charlotte, NC",1977,262314,855.844522213835,17.9174577033631,45.3654780148982,234.070617656702,558.490968838873,-80.8431267,35.2270869
"Chicago, IL",1977,3086806,935.368144288951,26.6618634277632,39.7498255478316,534.921857739035,334.034597574321,-87.6297982,41.8781136
"Columbus, OH",1977,568800,569.268635724332,12.1308016877637,58.1926863572433,308.016877637131,190.928270042194,-82.99879419999999,39.9611755
"Dallas, TX",1977,873700,1018.54183358132,25.6380908778757,72.908320933959,416.275609476937,503.719812292549,-96.79698789999999,32.7766642
"Denver, CO",1977,520200,967.320261437908,14.0330642060746,89.5809304113802,478.277585544022,385.428681276432,-104.990251,39.7392358
"Detroit, MI",1977,1316352,1828.53826332166,36.3884432127577,97.0105260598989,1202.71781408012,492.421479968884,-83.0457538,42.331427
"El Paso, TX",1977,386000,404.145077720207,8.29015544041451,27.720207253886,213.471502590674,154.663212435233,-106.4850217,31.7618778
"Fresno, CA",1977,182629,916.064808984334,28.4730245470325,38.8766296699867,524.560721462637,324.154433304678,-119.7871247,36.7377981
"Houston, TX",1977,1613303,576.705057884353,23.306223319488,59.8151742109201,381.391468310665,112.19219204328,-95.3698028,29.7604267
"Indianapolis, IN",1977,509000,743.614931237721,15.7170923379175,67.9764243614931,420.235756385069,239.685658153242,-86.158068,39.768403
"Kansas City, MO",1977,492055,1141.33582627958,19.7132434382335,66.0495269837721,472.711383890012,582.861671967565,-94.5785667,39.0997265
"Las Vegas, NV",1977,279791,975.370901851739,21.0871686365895,65.4059637372181,507.164276191872,381.71349328606,-115.1398296,36.1699412
"Los Angeles, CA",1977,2785393,1209.02149176077,20.6793080904562,83.9737875409323,547.355436019262,557.012960110117,-118.2436849,34.0522342
"Memphis, TN",1977,667150,784.08154088286,15.7385895225961,87.0868620250319,412.051262834445,269.204826500787,-90.0489801,35.1495343
"Miami, FL",1977,333713,1601.97535007626,25.1713298552948,53.3392465981247,733.264811379838,790.199962243005,-80.1917902,25.7616798
"Milwaukee, WI",1977,640489,395.791340678763,8.43105814463636,33.255840459399,216.865551164813,137.238890909914,-87.9064736,43.0389025
"Minneapolis, MN",1977,390294,801.959548442969,9.73625010889227,83.014343033713,423.270662628685,285.938292671678,-93.2650108,44.977753
"Nashville, TN",1977,456589,647.628392274014,17.9592587644468,40.9558705969701,369.697912126661,219.015350785937,-86.7816016,36.1626638
"New Orleans, LA",1977,587776,1011.7799978223,29.432981271777,61.2478222996516,557.865581445993,363.233612804878,-90.0715323,29.95106579999999
"New York, NY",1977,7481613,1629.54165097821,20.811020297361,52.1144304042457,994.491428519492,562.124771757106,-74.0059728,40.7127753
"Oklahoma City, OK",1977,373570,721.417672725326,17.9350590250823,67.1895494820248,207.457772305057,428.835291913162,-97.5164276,35.4675602
"Omaha, NE",1977,367281,522.21595998704,8.44040394139637,46.8306283200057,220.267315760957,246.677611964681,-95.9345034,41.2565369
"Orlando, FL",1977,118374,965.583658573673,12.6717015560849,71.8063088178147,231.469748424485,649.635899775289,-81.3792365,28.5383355
"Philadelphia, PA",1977,1897706,634.819092103835,17.0205500746691,40.6280003330337,368.813715085477,208.356826610655,-75.1652215,39.9525839
"Phoenix, AZ",1977,682200,629.580768103196,10.260920551158,46.3207270595133,233.655819407798,339.343301084726,-112.0740373,33.4483771
"Pittsburgh, PA",1977,482413,947.735653889924,10.7791456697892,52.237398245901304,526.312516453744,358.40659352049,-79.9958864,40.44062479999999
"Raleigh, NC",1977,152840,373.593300183198,6.54278984559016,25.5168803978016,78.5134781470819,263.020151792724,-78.6381787,35.7795897
"Sacramento, CA",1977,265220,1099.08754995852,15.4588643390393,77.2943216951964,481.110021868637,525.224342055652,-121.4943996,38.5815719
"Salt Lake City, UT",1977,180122,590.710740498107,6.66215120862526,62.1800779471691,265.930869077625,255.937642264687,-111.8910474,40.7607793
"San Antonio, TX",1977,764217,491.352587026983,19.1045213597709,35.722837885051,191.045213597709,245.480014184453,-98.49362819999999,29.4241219
"San Diego, CA",1977,788621,559.71119206818,6.34018115165587,37.787479663869,314.599788745164,200.983742507491,-117.1610838,32.715738
"San Francisco, CA",1977,676625,1384.37095880288,20.8387215961574,87.9364492887493,801.477923517458,474.117864400517,-122.4194155,37.7749295
